size,processes,chunk_size,execution_time
1024,2,1,1.1659607887268066
1024,2,2,1.1633327007293701
1024,2,5,1.160264253616333
1024,2,10,1.1471281051635742
1024,2,16,1.150113821029663
1024,2,25,1.1405730247497559
1024,2,50,1.1457374095916748
1024,2,100,1.1565594673156738
1024,2,200,1.1439180374145508
1024,4,1,0.7711458206176758
1024,4,2,0.7737324237823486
1024,4,5,0.7793474197387695
1024,4,10,0.7735269069671631
1024,4,16,0.7738018035888672
1024,4,25,0.773411750793457
1024,4,50,0.772935152053833
1024,4,100,0.8024489879608154
1024,4,200,1.0760393142700195
1024,8,1,0.6664750576019287
1024,8,2,0.6512007713317871
1024,8,5,0.6430971622467041
1024,8,10,0.6417052745819092
1024,8,16,0.6577894687652588
1024,8,25,0.6594672203063965
1024,8,50,0.6626029014587402
1024,8,100,0.8254296779632568
1024,8,200,1.1517488956451416
2048,2,1,3.6791632175445557
2048,2,2,3.6104280948638916
2048,2,5,3.5541985034942627
2048,2,10,3.6057240962982178
2048,2,16,3.6002120971679688
2048,2,25,3.5814268589019775
2048,2,50,3.577627182006836
2048,2,100,3.5956106185913086
2048,2,200,3.5771942138671875
2048,4,1,2.0398800373077393
2048,4,2,2.0643868446350098
2048,4,5,2.043834686279297
2048,4,10,2.0279994010925293
2048,4,16,2.0181925296783447
2048,4,25,2.0386273860931396
2048,4,50,2.058138370513916
2048,4,100,2.076608896255493
2048,4,200,2.1082355976104736
2048,8,1,1.3687715530395508
2048,8,2,1.3434617519378662
2048,8,5,1.3488261699676514
2048,8,10,1.3481025695800781
2048,8,16,1.34267258644104
2048,8,25,1.386063575744629
2048,8,50,1.3731608390808105
2048,8,100,1.3917710781097412
2048,8,200,2.031717300415039
4096,2,1,13.577645063400269
4096,2,2,13.260894060134888
4096,2,5,13.122879981994629
4096,2,10,13.068775415420532
4096,2,16,13.056848287582397
4096,2,25,13.003122329711914
4096,2,50,12.980673789978027
4096,2,100,13.135607481002808
4096,2,200,15.379777669906616
4096,4,1,7.0735602378845215
4096,4,2,7.04823637008667
4096,4,5,7.022117376327515
4096,4,10,6.972965717315674
4096,4,16,7.048822641372681
4096,4,25,6.999398708343506
4096,4,50,7.032186269760132
4096,4,100,7.0983850955963135
4096,4,200,7.057295083999634
4096,8,1,4.177472829818726
4096,8,2,4.1778223514556885
4096,8,5,4.115195035934448
4096,8,10,4.128756761550903
4096,8,16,4.154829978942871
4096,8,25,4.115377426147461
4096,8,50,4.164604425430298
4096,8,100,4.314666032791138
4096,8,200,4.4071314334869385
8192,2,1,52.03547549247742
8192,2,2,51.152719259262085
8192,2,5,51.09347987174988
8192,2,10,51.287797927856445
8192,2,16,66.94112801551819
8192,2,25,73.65145206451416
8192,2,50,93.9551010131836
8192,2,100,56.08577513694763
8192,2,200,52.12610864639282
8192,4,1,27.194807767868042
8192,4,2,30.385693550109863
8192,4,5,26.702537298202515
8192,4,10,26.665780544281006
8192,4,16,26.725980758666992
8192,4,25,26.788431882858276
8192,4,50,26.71373724937439
8192,4,100,26.89518928527832
8192,4,200,27.188233137130737
8192,8,1,15.320998907089233
8192,8,2,15.373489618301392
8192,8,5,15.11277151107788
8192,8,10,15.126286745071411
8192,8,16,15.010086059570312
8192,8,25,15.196109294891357
8192,8,50,15.13548469543457
8192,8,100,15.135238409042358
8192,8,200,15.527570486068726
