processes,execution_time,actual_speedup,ideal_speedup
1,2.0278542041778564,1.0,1
2,1.1970906257629395,1.6939855350428863,2
3,0.9184005260467529,2.2080281387759406,3
4,0.7944116592407227,2.552649096459668,4
5,0.7296888828277588,2.7790668761723842,5
6,0.6957235336303711,2.91474142551462,6
7,0.6790115833282471,2.9864795446317935,7
8,0.6894574165344238,2.9412319826377673,8
9,0.7034623622894287,2.882676192622694,9
10,0.7156240940093994,2.833686318212787,10
11,0.7809906005859375,2.596515505636637,11
12,0.8148560523986816,2.4886042120058964,12
13,0.8057541847229004,2.5167156964567767,13
14,0.8242747783660889,2.4601677224645306,14
15,0.876333475112915,2.314021159486768,15
16,0.9894895553588867,2.049394248979572,16
17,1.1895484924316406,1.7047259671041872,17
18,1.246776819229126,1.6264773076481047,18
19,1.328000783920288,1.5269977463353488,19
20,1.4177768230438232,1.4303056526373867,20
21,1.4855129718780518,1.3650868370500682,21
22,1.615255355834961,1.2554387743414193,22
23,1.7324018478393555,1.1705449325784245,23
24,1.8411552906036377,1.1014031323305749,24
